Date,Open,High,Low,Close
25-Mar-21,14570.9,14575.6,14264.4,14324.9
24-Mar-21,14712.45,14752.35,14535,14549.4
23-Mar-21,14768.55,14878.6,14707,14814.75
22-Mar-21,14736.3,14763.9,14597.85,14736.4
19-Mar-21,14471.15,14788.25,14350.1,14744
18-Mar-21,14855.5,14875.2,14478.6,14557.85
17-Mar-21,14946.55,14956.55,14696.05,14721.3
16-Mar-21,14996.1,15051.6,14890.65,14910.45
15-Mar-21,15048.4,15048.4,14745.85,14929.5
12-Mar-21,15321.15,15336.3,14953.6,15030.95
10-Mar-21,15202.15,15218.45,15100.85,15174.8
09-Mar-21,15049.9,15126.85,14925.45,15098.4
08-Mar-21,15002.45,15111.15,14919.9,14956.2
05-Mar-21,14977.95,15092.35,14862.1,14938.1
04-Mar-21,15026.75,15202.35,14980.2,15080.75
03-Mar-21,15064.4,15273.15,14995.8,15245.6
02-Mar-21,14865.3,14959.1,14760.8,14919.1
01-Mar-21,14702.5,14806.8,14638.55,14761.55
26-Feb-21,14888.6,14919.45,14467.75,14529.15
25-Feb-21,15079.85,15176.5,15065.35,15097.35
24-Feb-21,14729.15,15008.8,14723.05,14982
23-Feb-21,14782.25,14854.5,14651.85,14707.8
22-Feb-21,14999.05,15010.1,14635.05,14675.7
19-Feb-21,15074.8,15144.05,14898.2,14981.75
18-Feb-21,15238.7,15250.75,15078.05,15118.95
17-Feb-21,15279.9,15314.3,15170.75,15208.9
16-Feb-21,15371.45,15431.75,15242.2,15313.45
15-Feb-21,15270.3,15340.15,15243.4,15314.7
12-Feb-21,15186.2,15243.5,15081,15163.3
11-Feb-21,15073.25,15188.5,15065.4,15173.3
10-Feb-21,15119.05,15168.25,14977.2,15106.5
09-Feb-21,15164.15,15257.1,15064.3,15109.3
08-Feb-21,15064.3,15159.9,15041.05,15115.8
05-Feb-21,14952.6,15014.65,14864.75,14924.25
04-Feb-21,14789.05,14913.7,14714.75,14895.65
03-Feb-21,14754.9,14868.85,14574.15,14789.95
02-Feb-21,14481.1,14731.7,14469.15,14647.85
01-Feb-21,13758.6,14336.35,13661.75,14281.2
29-Jan-21,13946.6,13966.85,13596.75,13634.6
28-Jan-21,13810.4,13898.25,13713.25,13817.55
27-Jan-21,14237.95,14237.95,13929.3,13967.5
25-Jan-21,14477.8,14491.1,14218.6,14238.9
22-Jan-21,14583.4,14619.9,14357.75,14371.9
21-Jan-21,14730.95,14753.55,14517.25,14590.35
20-Jan-21,14538.3,14666.45,14517.55,14644.7
19-Jan-21,14371.65,14546.05,14350.85,14521.15
18-Jan-21,14453.3,14459.15,14222.8,14281.3
15-Jan-21,14594.35,14617.45,14357.85,14433.7
14-Jan-21,14550.05,14617.8,14471.5,14595.6
13-Jan-21,14639.8,14653.35,14435.7,14564.85
12-Jan-21,14473.8,14590.65,14432.85,14563.45
11-Jan-21,14474.05,14498.2,14383.1,14484.75
08-Jan-21,14258.4,14367.3,14221.65,14347.25
07-Jan-21,14253.75,14256.25,14123.1,14137.35
06-Jan-21,14240.95,14244.15,14039.9,14146.25
05-Jan-21,14075.15,14215.6,14048.15,14199.5
04-Jan-21,14104.35,14147.95,13953.75,14132.9
01-Jan-21,13996.1,14049.85,13991.35,14018.5
31-Dec-20,13970,14024.85,13936.45,13981.75
30-Dec-20,13980.9,13997,13864.95,13981.95
29-Dec-20,13910.35,13967.6,13859.9,13932.6
28-Dec-20,13815.15,13885.3,13811.55,13873.2
24-Dec-20,13672.15,13771.75,13626.9,13749.25
23-Dec-20,13473.5,13619.45,13432.2,13601.1
22-Dec-20,13373.65,13492.05,13192.9,13466.3
21-Dec-20,13741.9,13777.5,13131.45,13328.4
18-Dec-20,13764.4,13772.85,13658.6,13760.55
17-Dec-20,13713.55,13773.25,13673.55,13740.7
16-Dec-20,13663.1,13692.35,13606.45,13682.7
15-Dec-20,13547.2,13589.65,13447.05,13567.85
14-Dec-20,13571.45,13597.5,13472.45,13558.15
11-Dec-20,13512.3,13579.35,13402.85,13513.85
10-Dec-20,13488.5,13503.55,13399.3,13478.3
09-Dec-20,13458.1,13548.9,13449.6,13529.1
08-Dec-20,13393.85,13435.45,13311.05,13392.95
07-Dec-20,13264.85,13366.65,13241.95,13355.75
04-Dec-20,13177.4,13280.05,13152.85,13258.55
03-Dec-20,13215.3,13216.6,13107.9,13133.9
02-Dec-20,13121.4,13128.5,12983.55,13113.75
01-Dec-20,13062.2,13128.4,12962.8,13109.05
27-Nov-20,13012.05,13035.3,12914.3,12968.95
26-Nov-20,12906.45,13018,12790.4,12987
25-Nov-20,13130,13145.85,12833.65,12858.4
24-Nov-20,13002.6,13079.1,12978,13055.15
23-Nov-20,12960.3,12968.85,12825.7,12926.45
20-Nov-20,12813.4,12892.45,12730.25,12859.05
19-Nov-20,12839.5,12963,12745.75,12771.7
18-Nov-20,12860.1,12948.85,12819.35,12938.25
17-Nov-20,12932.5,12934.05,12797.1,12874.2
14-Nov-20,12823.35,12828.7,12749.45,12780.25
13-Nov-20,12659.7,12735.95,12607.7,12719.95
12-Nov-20,12702.15,12741.15,12624.85,12690.8
11-Nov-20,12680.6,12769.75,12571.1,12749.15
10-Nov-20,12556.4,12643.9,12475.25,12631.1
09-Nov-20,12399.4,12474.05,12367.35,12461.05
06-Nov-20,12156.65,12280.4,12131.85,12263.55
05-Nov-20,12062.4,12131.1,12027.6,12120.3
04-Nov-20,11783.35,11929.65,11756.4,11908.5
03-Nov-20,11734.45,11836.2,11723.3,11813.5
02-Nov-20,11697.35,11725.65,11557.4,11669.15
30-Oct-20,11678.45,11748.95,11535.45,11642.4
29-Oct-20,11633.3,11744.15,11606.45,11670.8
28-Oct-20,11922.6,11929.4,11684.85,11729.6
27-Oct-20,11807.1,11899.05,11723,11889.4
26-Oct-20,11937.4,11942.85,11711.7,11767.75
23-Oct-20,11957.9,11974.55,11908.75,11930.35
22-Oct-20,11890,11939.55,11823.45,11896.45
21-Oct-20,11958.55,12018.65,11775.75,11937.65
20-Oct-20,11861,11949.25,11837.25,11896.8
19-Oct-20,11879.2,11898.25,11820.4,11873.05
16-Oct-20,11727.4,11789.75,11667.85,11762.45
15-Oct-20,12023.45,12025.45,11661.3,11680.35
